JobID,Account Code,Account Name,Site Code,Site Name,PostCode,Job Type,Status,Visit Date,Portal Status,Allocated Engineer,Parts Due,Total Job Value,Equipment
57077,5001091,Bupa Cromwell Hospital - Vendor No.0000041297,500109102,Bupa Cromwell Hospital / Housekeeping,SW5 0TU,Arranged Visit,575,13/01/2026,Attended - In Processing,Ray Oram,02/01/2026,443.25,i-team i-mop XL; i-team i-mop XL; i-team i-mop XL; Nilfisk VP300 Hepa; NUMATIC NQ 100; Monthly Service 6 machines to be serviced; i-team i-mop XL Pro
57076,GOLD003,Goldsmith University London - AP(Finance) - Supp. 239369,GOLD003,Goldsmith University London - AP(Finance) - Supp. 239369,SE14 6NW,Arranged Visit,250,26/01/2026,Pending Engineer Visit,Chris Thomas,26/01/2026,0,Field Service Up to 15 Machines Per Visit
57074,WHIT004,St James Group Ltd,WHIT00401,White City Living/ Belvedere Row Appt / Conceirge Dept,W12 7RQ,Arranged Visit,575,14/01/2026,Attended - In Processing,Ciaran McRae,12/01/2026,2.65,Nilfisk CS7010; Bradshaw T800 (ST804) Tow Tractor; NUMATIC  hvr 160-11; Nilfisk SC6500 1100D; Monthly Service Maintenance Agreement - Gold
57072,5009471,Dorchester Hotel The,500947102,Dorchester Hotel The,W1K 1QA,Callback,250,19/01/2026,Pending Engineer Visit,Chris Thomas,16/12/2025,119.45,Sebo XP10 30cm
57069,5008967,Pall Mall & Woodcote Park Clubhouses Ltd,500896705,Royal Automobile Club / Banqueting team,SW1Y 5HS,Workshop Repair,400,17/12/2025,Awaiting Parts for Repair,Shane Wingfield,16/12/2025,177.41,Sebo BS36; Sebo BS36
57059,BART004,Barts Health NHS Trust / St Bartholomew's Hospital (SBH),BART00401,St Bartholomew's Hospital (SBH),EC1A 7BE,Arranged Visit,600,02/01/2026,Requires Invoicing,Ray Oram,15/12/2025,1486.74,i-team i-mop XL; Matrix SDV8; TASKI VACUMAT 22T; Taski Swingo 2100; TASKI SWINGO 455b; TASKI SWINGO 455b; Taski Swingo 2100; Taski Vento 8; i-team i-mop XL Pro; i-team i-mop XXL Pro
57044,5002131,Bakkavor Pizza,500213102,Bakkavor Pizza,HA3 8NT,Callback,230,22/01/2026,Pending Engineer Visit,Ray Oram,12/12/2025,164.21,NILFISK VHS110 Z22
57038,5001091,Bupa Cromwell Hospital - Vendor No.0000041297,500109102,Bupa Cromwell Hospital / Housekeeping,SW5 0TU,Callback,230,20/12/2025,Pending Engineer Visit,Ray Oram,12/12/2025,35.71,Nilfisk VP300; NUMATIC NQ 100
57028,5007003,Avica UK Ltd,5007003,Avica UK Ltd,WD18 8QZ,Workshop Repair,400,12/12/2025,Awaiting Parts for Repair,Luke Langlands,,752.08,PROCHEM Polaris 1200; PROCHEM Polaris 1200
57022,5010935,Prime Hotels (UK) Ltd T/A Bulgari Hotel & Residences +,501093502,Bulgari Hotel & Residences,SW7 1DW,Callback,230,17/01/2026,Pending Engineer Visit,Steve Batt,11/12/2025,299.98,SEBO bs360; SEBO BS 360; Sebo AUTOMATIC XP 10; SEBO BS 360
